4980	3
78	46	35
70	41	33
57	33	28
45	26	23
50	29	25
63	37	29
74	43	34
82	50	38
86	53	40
88	54	41
88	55	42
90	56	43
92	57	44
93	57	44
91	55	42
83	48	38
73	41	33
76	43	33
87	50	38
97	57	42
97	57	43
93	55	41
88	51	39
87	51	38
90	53	40
95	56	42
98	58	43
99	59	44
100	60	45
99	60	45
98	59	44
94	57	43
88	54	41
81	50	38
75	46	36
71	43	33
70	42	33
69	41	32
69	41	32
70	42	32
72	43	33
73	44	33
74	45	33
73	44	33
70	44	33
66	42	33
63	41	32
63	41	33
67	43	35
78	49	39
89	55	43
98	59	47
104	63	49
109	66	51
111	67	53
112	69	54
111	69	53
108	67	52
105	64	50
101	62	48
97	60	46
94	58	44
92	56	43
91	55	42
89	55	42
87	54	42
86	53	41
84	52	41
81	51	41
78	49	39
56	35	27
62	40	30
68	43	33
72	45	34
76	47	36
79	49	36
81	50	37
83	52	38
86	53	38
87	53	39
87	53	38
87	52	38
86	52	37
84	50	37
84	50	36
83	50	36
83	49	36
82	49	35
81	48	35
80	47	35
78	45	35
72	41	33
63	35	30
48	27	25
48	27	24
58	32	27
67	38	31
78	45	35
86	52	39
89	55	41
89	55	42
88	55	42
87	55	42
85	52	41
82	49	38
74	43	34
67	38	29
70	39	30
82	47	35
98	58	42
110	66	48
112	67	50
106	63	47
96	56	43
91	53	41
92	55	41
96	57	42
99	59	44
100	60	44
100	60	44
99	59	44
96	57	42
91	55	40
85	52	38
80	49	37
77	47	36
74	45	34
72	44	33
71	43	33
72	44	33
74	44	33
75	45	33
76	46	34
74	45	33
72	45	33
70	44	33
68	43	34
69	44	35
75	47	37
83	51	40
92	56	44
99	60	47
104	63	49
108	65	51
110	67	53
112	68	53
110	67	53
108	66	52
105	65	50
101	62	48
98	60	46
95	58	45
93	57	44
91	55	43
90	55	42
88	54	42
86	54	42
84	53	42
80	51	40
64	41	31
68	43	33
71	45	34
75	47	35
78	48	36
81	50	37
83	51	38
86	53	39
87	53	39
88	53	39
87	53	38
86	51	37
85	51	37
83	50	36
82	49	36
81	48	35
80	48	35
79	47	35
79	46	35
79	44	35
75	41	34
69	37	32
55	30	27
48	27	24
54	30	26
64	35	29
73	40	32
84	49	38
89	54	41
89	54	41
86	54	41
83	52	40
80	50	38
76	46	36
70	41	32
63	36	28
