4980	3
-66.674	27.6898	-7.70279
-66.7772	25.391	-6.79791
-66.8668	23.1059	-5.95887
-66.942	20.8356	-5.13723
-67.0021	18.5806	-3.85969
-67.0468	16.34	-3.38034
-67.0763	14.1112	-2.4564
-67.091	11.8892	-1.84178
-67.0919	9.66716	-0.835868
-67.0801	7.43665	-0.13938
-67.0569	5.18838	0.35317
-67.0236	2.91272	0.940599
-66.9817	0.600093	1.15686
-66.9325	-1.75842	1.27491
-66.8776	-4.1704	1.19427
-66.8186	-6.64107	1.05662
-66.7571	-9.17219	0.771157
-66.6952	-11.761	0.0652679
-66.6347	-14.3997	-0.936936
-66.5778	-17.0754	-1.94684
-66.5267	-19.771	-3.11578
-66.4833	-22.4657	-4.38298
-66.4494	-25.1366	-5.49656
-66.4262	-27.7594	-6.63522
-66.4142	-30.3104	-7.29956
-66.4127	-32.7688	-7.68529
-66.4198	-35.1186	-7.62073
-66.4327	-37.3508	-7.2877
-66.448	-39.4637	-7.05716
-66.4622	-41.4631	-6.88762
-66.4726	-43.3612	-6.74968
-66.4773	-45.1751	-6.56017
-66.4751	-46.9272	-6.53522
-66.4654	-48.6446	-6.61422
-66.4204	-52.1154	-7.31133
-66.3829	-53.9468	-7.63915
-66.3356	-55.8648	-8.27083
-66.2803	-57.852	-8.61294
-66.2187	-59.8877	-9.25786
-62.2535	65.0818	-27.999
-62.3753	62.8028	-24.9718
-62.5191	60.4929	-22.278
-62.6762	58.1626	-20.0669
-62.8409	55.8187	-17.951
-63.0093	53.4661	-15.8787
-63.1783	51.1089	-14.3187
-63.3457	48.7502	-13.034
-63.5098	46.3926	-11.8224
-63.6697	44.0382	-10.5657
-63.8241	41.6887	-9.67357
-63.9722	39.3455	-8.85376
-64.1128	37.0095	-8.07032
-64.2447	34.6815	-7.24065
-64.3667	32.3624	-6.41091
-64.4776	30.0527	-5.6154
-64.5767	27.7531	-4.82547
-64.6634	25.4642	-3.95539
-64.7372	23.1866	-2.98968
-64.7977	20.9204	-2.12343
-64.8448	18.6652	-1.31107
-64.8783	16.4196	-0.520039
-64.8986	14.1807	0.193917
-64.9059	11.9439	0.894014
-64.901	9.70328	1.79106
-64.8847	7.4517	2.28991
-64.8578	5.18119	2.67846
-64.8214	2.88347	3.16179
-64.7764	0.550388	3.40519
-64.724	-1.82554	3.44191
-64.6656	-4.25048	3.22138
-64.6025	-6.72852	2.98972
-64.5365	-9.26082	2.72569
-64.4694	-11.8449	1.98473
-64.4035	-14.4741	1.01984
-64.3409	-17.1375	0.0813578
-64.2843	-19.8203	-1.1866
-64.2359	-22.504	-2.4076
-64.198	-25.167	-3.62059
-64.1722	-27.786	-4.75931
-64.1591	-30.3371	-5.37803
-64.1579	-32.7983	-5.64236
-64.1661	-35.1518	-5.43982
-64.1801	-37.3869	-4.81612
-64.1953	-39.5003	-4.21159
-64.2074	-41.4966	-3.68045
-64.2133	-43.3868	-3.28912
-64.2114	-45.1876	-2.9764
-64.2012	-46.9203	-2.88814
-64.1828	-48.6114	-3.06691
-64.1567	-50.2944	-3.1201
-64.0202	-55.7758	-4.16971
-63.8898	-59.8332	-5.42083
-63.8179	-61.9144	-5.86616
-60.1721	67.1834	-26.5157
-60.2646	64.9543	-22.973
-60.3856	62.6868	-20.0261
-60.5283	60.3889	-18.0318
-60.6852	58.0696	-15.871
-60.8503	55.7359	-14.1523
-61.0191	53.3934	-12.8206
-61.1879	51.0462	-11.4006
-61.354	48.698	-10.1466
-61.5152	46.3515	-8.9224
-61.6697	44.0091	-8.16529
-61.8162	41.6723	-7.09591
-61.9536	39.3425	-6.2236
-62.081	37.0205	-5.47001
-62.1976	34.7068	-4.53099
-62.3027	32.4017	-3.75631
-62.3958	30.1054	-2.80617
-62.4769	27.8179	-2.07513
-62.5459	25.5393	-1.34285
-62.6029	23.2691	-0.482262
-62.6479	21.007	0.389678
-62.6813	18.7519	1.20421
-62.7032	16.502	2.04921
-62.7139	14.2542	2.85681
-62.7137	12.0046	3.41287
-62.703	9.74806	4.10937
-62.6823	7.47847	4.53549
-62.652	5.18914	4.86499
-62.6127	2.87311	5.03954
-62.5651	0.523557	5.31872
-62.51	-1.86578	5.26081
-62.4485	-4.3	4.93528
-62.3817	-6.7825	4.81354
-62.3113	-9.31427	4.2353
-62.2392	-11.8934	3.61283
-62.1675	-14.5146	2.69799
-62.0989	-17.1691	1.66745
-62.0361	-19.8443	0.507238
-61.982	-22.524	-0.731395
-61.9393	-25.1882	-1.92939
-61.9104	-27.8141	-3.00178
-61.8961	-30.3766	-3.5751
-61.8957	-32.8514	-3.79105
-61.9062	-35.218	-3.36105
-61.9224	-37.4632	-2.28336
-61.9379	-39.5828	-1.33354
-61.9474	-41.5809	-0.698506
-61.9471	-43.4688	-0.141041
-61.9358	-45.2629	0.135913
-61.9142	-46.9849	0.372283
-61.8839	-48.6609	0.328063
-61.8462	-50.3231	0.195119
-61.8017	-52.0158	0.000168921
-61.7466	-53.8307	0.156603
-61.6818	-55.7787	-0.0965283
-61.5405	-59.843	-0.901918
-61.465	-61.9249	-1.87945
-61.3858	-64.0286	-2.7858
-58.0617	71.3946	-29.5936
-58.1134	69.2304	-25.2131
-58.1865	67.0378	-21.7601
-58.2844	64.8123	-18.8125
-58.4065	62.5541	-16.6966
-58.5485	60.2679	-14.3744
-58.7046	57.9607	-12.7679
-58.8692	55.6387	-11.1704
-59.0373	53.3076	-9.74774
-59.2049	50.972	-8.3515
-59.3685	48.6357	-7.50284
-59.5253	46.3019	-6.28707
-59.6732	43.9728	-5.44748
-59.8105	41.6503	-4.58844
-59.9361	39.3354	-3.63177
-60.049	37.0288	-2.77425
-60.149	34.7306	-2.065
-60.2359	32.4408	-1.1494
-60.31	30.1588	-0.392591
-60.3718	27.8842	0.222066
-60.4219	25.6162	1.0252
-60.461	23.3539	1.97594
-60.4899	21.0962	2.83179
-60.5091	18.8417	3.69366
-60.519	16.5882	4.2725
-60.52	14.3331	5.00807
-60.5124	12.0726	5.5605
-60.4961	9.80261	6.05297
-60.4714	7.51794	6.38754
-60.4383	5.21315	6.63165
-60.3969	2.8825	6.86765
-60.3474	0.52034	6.88935
-60.2903	-1.87852	6.8067
-60.2263	-4.31839	6.64242
-60.1564	-6.80225	6.28989
-60.082	-9.33126	5.70701
-60.0049	-11.9043	5.02333
-59.9274	-14.5177	4.16622
-59.8523	-17.1649	3.25425
-59.7828	-19.8358	2.04306
-59.7221	-22.5169	0.982687
-59.6739	-25.1902	-0.20854
-59.6411	-27.8333	-1.28493
-59.6255	-30.4194	-1.89426
-59.6268	-32.9201	-1.86951
-59.6412	-35.3103	-1.24574
-59.6613	-37.5739	-0.00609383
-59.678	-39.7062	1.27071
-59.6838	-41.7122	2.11791
-59.6746	-43.6042	2.59985
-59.6503	-45.3999	2.78396
-59.6129	-47.1222	3.15786
-59.5658	-48.7992	2.9615
-59.512	-50.4656	2.92649
-59.4527	-52.1696	3.05034
-59.387	-53.9749	2.87142
-59.316	-55.8929	2.83153
-59.2428	-57.8828	2.94285
-59.0103	-64.0846	0.563244
-56.011	73.3944	-28.4539
-56.0565	71.2482	-23.9548
-56.1183	69.0809	-20.2972
-56.2	66.8874	-17.313
-56.3035	64.6651	-14.8801
-56.4282	62.4142	-13.0227
-56.571	60.1382	-11.1864
-56.7271	57.8421	-9.48092
-56.8913	55.5317	-8.1838
-57.0586	53.2125	-7.13806
-57.2245	50.889	-5.64149
-57.385	48.5655	-4.67122
-57.5368	46.2451	-3.90698
-57.6772	43.9305	-2.9914
-57.8043	41.6233	-2.0666
-57.9168	39.3246	-1.32587
-58.014	37.0347	-0.537658
-58.096	34.7533	0.162136
-58.1633	32.4799	1.09379
-58.217	30.2133	1.85497
-58.2581	27.9524	2.57409
-58.2882	25.6957	3.33944
-58.3085	23.4418	4.09487
-58.3204	21.1891	4.8225
-58.3249	18.9358	5.54459
-58.3227	16.6798	6.30159
-58.3142	14.4185	6.90825
-58.2994	12.149	7.35323
-58.2783	9.86769	7.86506
-58.2504	7.57061	8.05413
-58.2154	5.25339	8.21833
-58.1729	2.91148	8.3115
-58.1226	0.540316	8.34683
-58.0645	-1.86439	8.24958
-57.999	-4.30633	7.92251
-57.9267	-6.78827	7.51373
-57.8489	-9.31168	7.00231
-57.7673	-11.8765	6.28107
-57.6842	-14.4806	5.48762
-57.6025	-17.1198	4.54174
-57.5257	-19.7872	3.58429
-57.4577	-22.4723	2.49314
-57.403	-25.1601	1.61003
-57.3655	-27.8294	0.547741
-57.3484	-30.4515	-0.135587
-57.3523	-32.992	-0.207159
-57.3731	-35.4175	0.576683
-57.3998	-37.708	2.20996
-57.4187	-39.8597	3.66913
-57.4191	-41.8799	4.67317
-57.3971	-43.7826	5.16068
-57.3544	-45.5872	5.40787
-57.2959	-47.3187	5.4216
-57.227	-49.0077	5.47716
-57.1527	-50.6907	5.35782
-57.076	-52.4103	5.2485
-56.9984	-54.2057	4.91243
-56.9212	-56.0884	5.09137
-53.9469	75.3858	-27.7633
-53.9894	73.2523	-22.6879
-54.0442	71.1031	-19.347
-54.1151	68.9333	-16.4227
-54.2048	66.7395	-13.9295
-54.3143	64.5197	-11.6244
-54.443	62.2745	-9.91938
-54.588	60.0065	-8.3616
-54.7454	57.72	-6.79816
-54.9101	55.4201	-5.48833
-55.0772	53.112	-4.52913
-55.2417	50.8004	-3.36586
-55.3992	48.4896	-2.4272
-55.5457	46.183	-1.44847
-55.6782	43.8834	-0.572549
-55.7943	41.5924	0.192254
-55.8927	39.3109	0.844176
-55.973	37.0389	1.44479
-56.0357	34.7756	2.26801
-56.0819	32.5198	3.19116
-56.1134	30.2698	3.99667
-56.1324	28.0236	4.67946
-56.1411	25.7791	5.41406
-56.1416	23.5343	6.19247
-56.1359	21.2872	6.84711
-56.1253	19.0358	7.50273
-56.1109	16.7781	8.16518
-56.0932	14.5118	8.69325
-56.0721	12.2345	9.08668
-56.047	9.94373	9.40054
-56.0171	7.6364	9.5983
-55.9816	5.30931	9.58941
-55.9394	2.95904	9.48586
-55.8897	0.582027	9.56592
-55.832	-1.82518	9.45581
-55.7662	-4.26577	9.1645
-55.6928	-6.74237	8.70864
-55.6126	-9.25686	8.05306
-55.5273	-11.8101	7.44402
-55.4391	-14.4018	6.69613
-55.3509	-17.0301	5.78291
-55.2666	-19.6914	4.82969
-55.1908	-22.3792	3.92872
-55.1287	-25.0825	3.04266
-55.0858	-27.7835	2.38001
-55.0668	-30.4532	1.62322
-55.0744	-33.0489	1.3473
-55.1052	-35.5227	1.95983
-55.143	-37.8482	3.9271
-55.1649	-40.0264	5.89767
-55.1565	-42.0679	6.96659
-55.1155	-43.9873	7.45304
-55.0476	-45.8056	7.42688
-54.9615	-47.55	7.48853
-54.8658	-49.2533	7.39692
-54.7674	-50.9514	7.26658
-54.6712	-52.6798	7.05058
-54.5803	-54.4656	6.77425
-54.4965	-56.3202	6.993
-54.4194	-58.2405	7.25212
-54.3465	-60.2176	7.34701
-54.1946	-64.303	6.27057
-54.1096	-66.3925	5.30532
-54.0202	-68.5004	4.08138
-51.8621	77.379	-26.8088
-51.9038	75.2538	-21.8917
-51.9543	73.1178	-17.8249
-52.0177	70.966	-14.8734
-52.097	68.7943	-12.7326
-52.1943	66.6001	-10.4805
-52.3102	64.3819	-8.67283
-52.4438	62.1407	-6.93497
-52.5925	59.8786	-5.77321
-52.7526	57.5997	-4.27089
-52.9192	55.3086	-2.99024
-53.0873	53.0101	-1.93694
-53.2514	50.7094	-0.725257
-53.4065	48.4106	-0.0386909
-53.5481	46.1176	0.907961
-53.6726	43.8331	1.61724
-53.7774	41.5588	2.38931
-53.8609	39.2954	3.01523
-53.923	37.0425	3.54272
-53.9648	34.7986	4.28244
-53.9881	32.5618	5.13319
-53.9958	30.3296	5.78913
-53.991	28.0992	6.47262
-53.9768	25.8679	7.24194
-53.9563	23.633	7.91949
-53.9321	21.3922	8.58216
-53.9062	19.1433	9.1568
-53.8798	16.8844	9.74924
-53.8535	14.6138	10.2273
-53.827	12.3298	10.6029
-53.7994	10.0307	10.8349
-53.7692	7.71469	10.8846
-53.7349	5.37966	10.8748
-53.6948	3.02331	10.773
-53.6475	0.643068	10.6121
-53.5919	-1.76375	10.3713
-53.5276	-4.19987	10.1032
-53.4544	-6.66782	9.63665
-53.3733	-9.16982	8.98689
-53.2855	-11.7076	8.36332
-53.1931	-14.2823	7.67787
-53.0992	-16.8945	6.92404
-53.0078	-19.5437	6.03862
-52.924	-22.2278	5.37384
-52.8542	-24.9412	4.66145
-52.8056	-27.6719	4.07681
-52.7849	-30.3953	3.42771
-52.7971	-33.0634	2.76597
-52.8437	-35.5997	3.44908
-52.899	-37.9683	5.4284
-52.9229	-40.1839	7.98971
-52.8983	-42.2565	9.27215
-52.8288	-44.1987	9.53488
-52.7271	-46.0326	9.41319
-52.6068	-47.7886	9.44862
-52.4796	-49.5021	9.18879
-52.354	-51.2094	8.93444
-52.2363	-52.9417	8.65358
-52.1309	-54.7193	8.28784
-52.0398	-56.5521	8.48198
-51.9619	-58.4445	8.85429
-51.8931	-60.3951	9.11524
-51.7512	-64.443	8.70321
-51.6672	-66.5208	7.65536
-51.5789	-68.6186	6.38537
-51.4905	-70.7271	5.16849
-51.3201	-74.9563	3.05818
-49.7502	79.3836	-26.9875
-49.7933	77.2623	-20.9903
-49.8415	75.1356	-17.0184
-49.8994	72.9973	-14.0194
-49.9706	70.8431	-11.51
-50.0578	68.6695	-9.54831
-50.1625	66.4743	-7.64963
-50.2851	64.2568	-5.88489
-50.4244	62.0178	-4.36425
-50.5782	59.7597	-2.99991
-50.7425	57.4861	-1.86814
-50.9126	55.2014	-0.767356
-51.0832	52.9108	0.362363
-51.2483	50.6191	1.36278
-51.4023	48.3312	2.20943
-51.54	46.0509	2.79616
-51.6569	43.7813	3.66728
-51.7501	41.524	4.39919
-51.8179	39.2795	4.91608
-51.8606	37.0467	5.51648
-51.8798	34.8236	6.13418
-51.8784	32.6074	6.84236
-51.8602	30.3944	7.51263
-51.8295	28.1812	8.19754
-51.7908	25.9641	8.84616
-51.748	23.7399	9.4204
-51.7045	21.5059	10.0535
-51.6631	19.2599	10.6491
-51.6251	17.0001	11.1729
-51.5912	14.7255	11.5706
-51.5608	12.4351	11.8541
